User Input,Polarity,Extracted Concern,Category,Intensity
The feedback session has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
I'm a little stressed about the family visit.,Negative,little stressed,Stress,2
As a caregiver I'm not eating properly between duties.,Negative,not eating properly,Eating Disorder,1
I'm distinctly lonely now,Negative,lonely,Anxiety,3
The braces make me unable to eat crunchy foods.,Negative,unable to eat,Eating Disorder,1
With my aging concerns I'm worried about health decline.,Negative,worried about health,Health Anxiety,2
Feeling happy and inspired,Positive,feeling happy,Positive Outlook,3
Feeling sad and broken,Negative,feeling sad,Anxiety,4
This traffic jam has me feeling depressed.,Negative,feeling depressed,Depression,4
Feeling lonely and removed,Negative,feeling lonely,Anxiety,3
The project status has me very stressed about updates.,Negative,very stressed,Stress,4
I'm feeling hopeful about my project.,Positive,feeling hopeful,Positive Outlook,3
Looking at my family history has me distressed over health risks.,Negative,distressed over health,Health Anxiety,4
The legal issues have me extremely stressed constantly.,Negative,extremely stressed,Stress,4
Games have me feeling little better.,Positive,feeling little better,Positive Outlook,3
My dropped phone has me feeling depressed.,Negative,feeling depressed,Depression,4
Since exposure notification I'm worried about health status.,Negative,worried about health,Health Anxiety,2
Chronic pain makes me unable to eat without discomfort.,Negative,unable to eat,Eating Disorder,1
This traffic jam has me feeling depressed.,Negative,feeling depressed,Depression,4
Feeling happy and lighthearted,Positive,feeling happy,Positive Outlook,3
My garden dying has me feeling depressed.,Negative,feeling depressed,Depression,4
The missed meeting has me feeling very low.,Negative,feeling very low,Depression,2
The performance metrics have me very stressed now.,Negative,very stressed,Stress,4
The budget meeting has me very stressed about numbers.,Negative,very stressed,Stress,4
Pure happiness is what I feel,Positive,happiness,Positive Outlook,3
The loan denial has me feeling very low.,Negative,feeling very low,Depression,2
These regrets have me feeling depressed.,Negative,feeling depressed,Depression,4
My failures have me feeling depressed.,Negative,feeling depressed,Depression,4
The genetic testing has me distressed over health predictions.,Negative,distressed over health,Health Anxiety,4
These noisy neighbors have me feeling depressed.,Negative,feeling depressed,Depression,4
I am sad today,Negative,sad,Anxiety,4
Since the accident I'm worried about health complications.,Negative,worried about health,Health Anxiety,2
My bad haircut has me feeling depressed.,Negative,feeling depressed,Depression,4
Feeling sad and numb,Negative,feeling sad,Anxiety,4
The thin walls mean I have trouble sleeping with noisy neighbors.,Negative,have trouble sleeping,Insomnia,4
My restless legs mean I'm unable to sleep easily.,Negative,unable to sleep,Insomnia,1
The minor exam has me a little stressed but manageable.,Negative,little stressed,Stress,2
My tonsillitis makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
With my chronic symptoms I'm worried about health management.,Negative,worried about health,Health Anxiety,3
The lost wallet has me feeling very low.,Negative,feeling very low,Depression,2
Feeling sad and lost,Negative,feeling sad,Anxiety,4
I'm really lonely right now,Negative,lonely,Anxiety,3
The tax audit has me extremely stressed about paperwork.,Negative,extremely stressed,Stress,4
The lost wallet has me feeling very low.,Negative,feeling very low,Depression,2
As a student I'm not eating properly on campus.,Negative,not eating properly,Eating Disorder,1
Planning the birthday party has me a little stressed.,Negative,little stressed,Stress,2
The medical reports have me distressed over health findings.,Negative,distressed over health,Health Anxiety,4
My performance review has me feeling depressed.,Negative,feeling depressed,Depression,4
The walk made me feeling little better.,Positive,feeling little better,Positive Outlook,3
The custody hearing has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
Happiness is my state of mind,Positive,happiness,Positive Outlook,3
My back pain leaves me unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
Hot shower has me feeling little better.,Positive,feeling little better,Positive Outlook,3
My mind races constantly and I have trouble sleeping even when I'm tired.,Negative,have trouble sleeping,Insomnia,4
Travel planning makes me a little stressed.,Negative,little stressed,Stress,2
My sore throat makes me unable to eat anything.,Negative,unable to eat,Eating Disorder,1
Such profound sadness inside,Negative,sadness,Anxiety,4
The missed deadline has me feeling very low.,Negative,feeling very low,Depression,2
Feeling happy beyond words,Positive,feeling happy,Positive Outlook,3
Since dietary restrictions I'm worried about health nutrition.,Negative,worried about health,Health Anxiety,3
I'm utterly sad right now,Negative,sad,Anxiety,4
I'm intensely sad right now,Negative,sad,Anxiety,4
Between projects I'm not eating properly enough.,Negative,not eating properly,Eating Disorder,1
I'm experiencing happiness,Positive,happiness,Positive Outlook,3
With my dietary changes I'm worried about health consequences.,Negative,worried about health,Health Anxiety,2
My day is clouded with sadness,Negative,sadness,Anxiety,4
The bankruptcy process has me extremely stressed daily.,Negative,extremely stressed,Stress,4
These cognitive issues have me distressed over health decline.,Negative,distressed over health,Health Anxiety,3
This hope has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
This performance review has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
The office restructuring has me very stressed.,Negative,very stressed,Stress,4
The deadline has me feeling very anxious today.,Negative,feeling very anxious,Anxiety,2
I'm inconsolably sad today,Negative,sad,Anxiety,4
My life is full of happiness,Positive,happiness,Positive Outlook,3
This news has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
My heart is consumed by sadness,Negative,sadness,Anxiety,4
The doctor appointment has me a little stressed today.,Negative,little stressed,Stress,2
I'm feeling happy,Positive,feeling happy,Positive Outlook,3
Today I am feeling sad,Negative,feeling sad,Anxiety,4
I'm a little stressed about the upcoming team outing.,Negative,little stressed,Stress,2
This loneliness stays with me,Negative,loneliness,Anxiety,3
Feeling happy and optimistic,Positive,feeling happy,Positive Outlook,3
During interviews I'm not eating properly all day.,Negative,not eating properly,Eating Disorder,1
My soul feels the loneliness,Negative,loneliness,Anxiety,3
The medication side effects leave me unable to eat without nausea.,Negative,unable to eat,Eating Disorder,1
The flu makes me unable to eat without nausea.,Negative,unable to eat,Eating Disorder,1
I'm noticeably lonely right now,Negative,lonely,Anxiety,3
The grey skies have me feeling very low.,Negative,feeling very low,Depression,2
The feedback has me feeling much better.,Positive,feeling much better,Positive Outlook,3
I'm sad,Negative,sad,Anxiety,4
The fever makes me unable to eat full meals.,Negative,unable to eat,Eating Disorder,1
The unanswered message has me feeling very low.,Negative,feeling very low,Depression,2
My failed recipe has me feeling depressed.,Negative,feeling depressed,Depression,4
Feeling happy beyond words,Positive,feeling happy,Positive Outlook,3
This gift has me feeling very happy.,Positive,feeling very happy,Positive Outlook,4
The tea made me feeling little better.,Positive,feeling little better,Positive Outlook,3
Sadness weighs heavily on me,Negative,sadness,Anxiety,4
During finals I'm not eating properly or regularly.,Negative,not eating properly,Eating Disorder,1
The pending lawsuit has me extremely stressed constantly.,Negative,extremely stressed,Stress,4
These skin changes have me distressed over health indicators.,Negative,distressed over health,Health Anxiety,4
Since environmental changes I'm worried about health effects.,Negative,worried about health,Health Anxiety,3
The court date has me extremely stressed.,Negative,extremely stressed,Stress,4
After physical therapy I'm worried about health progress.,Negative,worried about health,Health Anxiety,3
Without roommates I'm not eating properly anymore.,Negative,not eating properly,Eating Disorder,1
The market analysis has me very stressed about results.,Negative,very stressed,Stress,4
I'm constantly worried about retirement plans.,Negative,constantly worried,Anxiety,2
My soul is drowning in sadness,Negative,sadness,Anxiety,4
Feeling sad and broken,Negative,feeling sad,Anxiety,4
Feeling sad and broken,Negative,feeling sad,Anxiety,4
My project failure has me feeling depressed.,Negative,feeling depressed,Depression,4
The tea made me feeling little better.,Positive,feeling little better,Positive Outlook,3
I'm constantly worried about climate change.,Negative,constantly worried,Anxiety,2
Pure happiness describes me now,Positive,happiness,Positive Outlook,3
The project deadline has me feeling very anxious.,Negative,feeling very anxious,Anxiety,2
My soul feels the loneliness,Negative,loneliness,Anxiety,3
The closed gym has me feeling very low.,Negative,feeling very low,Depression,2
The stress from work means I'm unable to sleep most nights.,Negative,unable to sleep,Insomnia,1
The mortgage application has me extremely stressed.,Negative,extremely stressed,Stress,4
Feeling sad and vulnerable,Negative,feeling sad,Anxiety,4
My heart is consumed by sadness,Negative,sadness,Anxiety,4
With my health history I'm worried about health patterns.,Negative,worried about health,Health Anxiety,3
I am sad about the news,Negative,sad,Anxiety,4
These memories have me feeling depressed.,Negative,feeling depressed,Depression,4
I'm constantly worried about identity theft.,Negative,constantly worried,Anxiety,2
I'm feeling a little stressed about the upcoming dental appointment.,Negative,little stressed,Stress,2
My back pain makes me unable to sleep comfortably.,Negative,unable to sleep,Insomnia,1
I'm deeply sad today,Negative,sad,Anxiety,4
